from,to,edge_role,year
Wunder_24,Ayliva,1,2024
Wunder_24,Apache,1,2024
Wunder_24,Ayliva,2,2024
Wunder_24,Apache,2,2024
Wunder_24,Berky,2,2024
Wunder_24,Masri,2,2024
Wunder_24,OM,2,2024
Wunder_24,Berky,3,2024
Wunder_24,Masri,3,2024
Wunder_24,OM,3,2024
Wunder_24,WR,4,2024
Zeit_24,SB,1,2024
Zeit_24,HG,1,2024
Zeit_24,Ericson,1,2024
Zeit_24,SB,2,2024
Zeit_24,HG,2,2024
Zeit_24,Ericson,2,2024
Zeit_24,SB,3,2024
Zeit_24,Ericson,3,2024
Zeit_24,DM,3,2024
Zeit_24,ER,4,2024
Komet_24,UL,1,2024
Komet_24,Apache,1,2024
Komet_24,UL,2,2024
Komet_24,CJ,2,2024
Komet_24,MT,2,2024
Komet_24,Apache,2,2024
Komet_24,Jumpa,2,2024
Komet_24,Sira,2,2024
Komet_24,Jumpa,3,2024
Komet_24,Sira,3,2024
Komet_24,WMCE,4,2024
9bis9_24,Sira,1,2024
9bis9_24,Badchieff,1,2024
9bis9_24,Bausa,1,2024
9bis9_24,Bausa,2,2024
9bis9_24,Badchieff,2,2024
9bis9_24,Sira,2,2024
9bis9_24,southstar,2,2024
9bis9_24,Sira,3,2024
9bis9_24,southstar,3,2024
9bis9_24,FM,4,2024
BBP_24,SD,1,2024
BBP_24,SD,2,2024
BBP_24,TC,2,2024
BBP_24,Bozza,2,2024
BBP_24,Laas,2,2024
BBP_24,Sergen,2,2024
BBP_24,Timey,2,2024
BBP_24,TC,3,2024
BBP_24,JMR,4,2024
Vempa_24,Fourty,1,2024
Vempa_24,Bausa,1,2024
Vempa_24,Fourty,2,2024
Vempa_24,Bausa,2,2024
Vempa_24,Chekaa,2,2024
Vempa_24,Chekaa,3,2024
Vempa_24,LP,4,2024
Mama_24,SDP,1,2024
Mama_24,Sido,1,2024
Mama_24,EG,1,2024
Mama_24,Sido,2,2024
Mama_24,Beatzarre,2,2024
Mama_24,DK,2,2024
Mama_24,RH,2,2024
Mama_24,EG,2,2024
Mama_24,TB,2,2024
Mama_24,Beatzarre,3,2024
Mama_24,NM,4,2024
Mittelmeer_24,Pashanim,1,2024
Mittelmeer_24,Pashanim,2,2024
Mittelmeer_24,SP,2,2024
Mittelmeer_24,Stickle,2,2024
Mittelmeer_24,Stickle,3,2024
Mittelmeer_24,SP,3,2024
Mittelmeer_24,Urban,4,2024
Jackson_24,Pashanim,1,2024
Jackson_24,Pashanim,2,2024
Jackson_24,Sira,2,2024
Jackson_24,southstar,2,2024
Jackson_24,sebo,2,2024
Jackson_24,Sira,3,2024
Jackson_24,southstar,3,2024
Jackson_24,sebo,3,2024
Jackson_24,Urban,4,2024
Rückbank_24,Finch,1,2024
Rückbank_24,Tream,1,2024
Rückbank_24,Finch,2,2024
Rückbank_24,Tream,2,2024
Rückbank_24,MM,2,2024
Rückbank_24,DG,2,2024
Rückbank_24,DG,3,2024
Rückbank_24,MM,3,2024
Rückbank_24,WW,4,2024
Madonna_21,Bausa,1,2021
Madonna_21,Apache,1,2021
Madonna_21,Bausa,2,2021
Madonna_21,Apache,2,2021
Madonna_21,Bausa,3,2021
