id,name,year,chart_rank,de_rank,type,,,,,,,,,
Wunder_24,Wunder,2024,2,1,1,,,,,,,,,
Ayliva,Ayliva,,,,2,,,,,,,,,
Apache,Volkan Yaman,,,,2,,,,,,,,,
Berky,Berky,,,,2,,,,,,,,,
Masri,Masri,,,,2,,,,,,,,,
OM,Oliver Melcher,,,,2,,,,,,,,,
WR,Whiteheart Records,,,,2,,,,,,,,,
Zeit_24,"Zeit, dass sich was dreht",2024,7,2,1,,,,,,,,,
SB,Soho Bani,,,,2,,,,,,,,,
HG,Herbert Grönemeyer,,,,2,,,,,,,,,
Ericson,Ericson,,,,2,,,,,,,,,
DM,Drunken Masters,,,,2,,,,,,,,,
ER,Epic Records Germany,,,,2,,,,,,,,,
Komet_24,Komet,2024,8,3,1,,,,,,,,,
UL,Udo Lindenberg,,,,2,,,,,,,,,
CJ,Chris James,,,,2,,,,,,,,,
MT,Marco Tscheschlok,,,,2,,,,,,,,,
Jumpa,Jumpa,,,,2,,,,,,,,,
Sira,Sira,,,,2,,,,,,,,,
WMCE,Warner Music Central Europe,,,,2,,,,,,,,,
9bis9_24,9 bis 9,2024,13,4,1,,,,,,,,,
Badchieff,Shivan Darouiche,,,,2,,,,,,,,,
Bausa,Julian Otto,,,,2,,,,,,,,,
southstar,southstar,,,,2,,,,,,,,,
FM,Four Music,,,,2,,,,,,,,,
BBP_24,"Bauch, Beine, Po",2024,15,5,1,,,,,,,,,
SD,Shirin David,,,,2,,,,,,,,,
TC,The Cratez,,,,2,,,,,,,,,
Bozza,Bozza,,,,2,,,,,,,,,
Laas,Laas,,,,2,,,,,,,,,
Sergen,Sergen,,,,2,,,,,,,,,
Timey,Timey,,,,2,,,,,,,,,
JMR,Juicy Money Records,,,,2,,,,,,,,,
Vempa_24,Vempa,2024,18,6,1,,,,,,,,,
Fourty,Fourty,,,,2,,,,,,,,,
Chekaa,Chekaa,,,,2,,,,,,,,,
LP,Life is Pain,,,,2,,,,,,,,,
Mama_24,Mama hat gesagt,2024,21,7,1,,,,,,,,,
Sido,Sido,,,,2,,,,,,,,,
SDP,SDP,,,,2,,,,,,,,,
EG,Estern Graf,,,,2,,,,,,,,,
Beatzarre,Vincent Stein,,,,2,,,,,,,,,
DK,Dag-Alexis Kopplin,,,,2,,,,,,,,,
TB,Thilo Brandt,,,,2,,,,,,,,,
NM,Nur Musik ist schöner,,,,2,,,,,,,,,
Mittelmeer_24,Mittelmeer,2024,25,8,1,,,,,,,,,
Pashanim,Pashanim,,,,2,,,,,,,,,
SP,Slim Pharaoh,,,,2,,,,,,,,,
Stickle,Stickle,,,,2,,,,,,,,,
Urban,Universal Music Domestic Urban,,,,2,,,,,,,,,
Jackson_24,Ms. Jackson,2024,28,9,1,,,,,,,,,
sebo,sebo,,,,2,,,,,,,,,
Rückbank_24,Liebe auf der Rückbank,2024,31,10,1,,,,,,,,,
Finch,Finch,,,,2,,,,,,,,,
Tream,Tream,,,,2,,,,,,,,,
MM,Matthias Mania,,,,2,,,,,,,,,
DG,Daniel Großmann,,,,2,,,,,,,,,
WW,Walk This Way Records,,,,2,,,,,,,,,1
Komet_23,Komet,2023,1,1,1,,,,,,,,,1
Sie_23,Sie weiß,2023,3,2,1,,,,,,,,,1
Wildberry_23,Wildberry Lillet,2023,4,3,1,,,,,,,,,1
Zukunft_23,Zukunft Pink,2023,6,4,1,,,,,,,,,1
Nachts_23,Nachts wach,2023,7,5,1,,,,,,,,,1
9_23,9 bis 9,2023,8,6,1,,,,,,,,,1
Friesenjung_23,Friesenjung,2023,12,7,1,,,,,,,,,1
Mädchen_23,Mädchen auf dem Pferd,2023,13,8,1,,,,,,,,,1
Breaking_23,Breaking your Heart,2023,14,9,1,,,,,,,,,1
Mangos_23,Mangos mit Chilli,2023,15,10,1,,,,,,,,,
Madonna_21,Madonna,2021,11,1,1,,,,,,,,,
Sommergewitter_21,Sommergewitter,2021,16,2,1,,,,,,,,,
AufAb_21,Auf & Ab,2021,17,3,1,,,,,,,,,
Ohne_Dich_21,Ohne Dich,2021,18,4,1,,,,,,,,,
Blaues_Licht_21,Blaues Licht,2021,27,5,1,,,,,,,,,
Roller_21,Roller,2021,30,6,1,,,,,,,,,
Liege_wieder_wach_21,Liege wieder wach,2021,36,7,1,,,,,,,,,
Ich_darf_das_21,Ich darf das,2021,39,8,1,,,,,,,,,
